length,width,shape
47,22,rectangle
99,27,rectangle
12,19,rectangle
52,73,rectangle
4,21,rectangle
35,35,square
80,80,square
92,6,rectangle
35,35,square
42,67,rectangle
16,52,rectangle
80,48,rectangle
52,45,rectangle
12,12,square
58,94,rectangle
40,40,square
1,1,square
9,9,square
7,7,square
4,4,square
67,83,rectangle
34,75,rectangle
36,36,square
42,77,rectangle
83,78,rectangle
46,70,rectangle
91,20,rectangle
21,28,rectangle
34,34,square
40,40,square
43,85,rectangle
49,100,rectangle
100,59,rectangle
19,19,square
39,88,rectangle
17,58,rectangle
28,28,square
72,49,rectangle
78,78,square
35,35,square
3,3,square
60,60,square
20,5,rectangle
41,41,square
47,78,rectangle
25,25,square
28,28,square
23,92,rectangle
30,30,square
47,47,square
6,27,rectangle
80,80,square
14,45,rectangle
21,11,rectangle
88,88,square
22,7,rectangle
27,38,rectangle
25,57,rectangle
60,95,rectangle
45,45,square
83,77,rectangle
76,76,square
22,34,rectangle
51,75,rectangle
19,19,square
50,67,rectangle
11,11,square
91,83,rectangle
80,12,rectangle
38,90,rectangle
34,34,square
94,19,rectangle
66,66,square
95,95,square
61,77,rectangle
58,58,square
75,75,square
99,99,square
100,100,square
78,12,rectangle
56,21,rectangle
6,24,rectangle
64,78,rectangle
89,89,square
34,50,rectangle
74,74,square
70,28,rectangle
4,14,rectangle
89,40,rectangle
11,69,rectangle
40,40,square
80,8,rectangle
32,50,rectangle
48,64,rectangle
31,31,square
29,55,rectangle
2,2,square
68,28,rectangle
2,12,rectangle
24,20,rectangle
2,2,square
22,15,rectangle
46,86,rectangle
1,62,rectangle
39,39,square
13,13,square
30,55,rectangle
41,41,square
21,90,rectangle
51,51,square
59,59,square
14,14,square
66,66,square
1,3,rectangle
3,3,square
48,48,square
60,27,rectangle
15,92,rectangle
83,91,rectangle
94,54,rectangle
83,10,rectangle
98,34,rectangle
65,20,rectangle
67,67,square
31,31,square
93,93,square
47,47,square
21,39,rectangle
56,65,rectangle
76,76,square
98,98,square
10,6,rectangle
97,97,square
96,96,square
11,11,square
7,36,rectangle
26,26,square
28,60,rectangle
27,27,square
48,60,rectangle
46,46,square
20,52,rectangle
66,13,rectangle
45,45,square
60,94,rectangle
43,48,rectangle
68,9,rectangle
7,7,square
40,74,rectangle
90,48,rectangle
39,94,rectangle
5,33,rectangle
82,18,rectangle
98,98,square
32,32,square
21,11,rectangle
64,52,rectangle
14,14,square
14,14,square
48,48,square
97,79,rectangle
55,80,rectangle
25,29,rectangle
72,99,rectangle
69,69,square
17,28,rectangle
53,49,rectangle
3,29,rectangle
88,55,rectangle
18,18,square
43,18,rectangle
78,78,square
86,13,rectangle
41,11,rectangle
57,57,square
19,5,rectangle
87,87,square
100,53,rectangle
77,80,rectangle
18,36,rectangle
24,24,square
26,26,square
3,66,rectangle
32,83,rectangle
12,12,square
31,31,square
9,9,square
65,64,rectangle
9,91,rectangle
78,78,square
61,54,rectangle
28,78,rectangle
18,18,square
34,53,rectangle
36,41,rectangle
35,35,square
23,42,rectangle
29,29,square
81,45,rectangle
95,22,rectangle
64,64,square
47,47,square
88,88,square
60,60,square
93,14,rectangle
28,28,square
19,27,rectangle
24,31,rectangle
33,94,rectangle
54,54,square
37,37,square
61,3,rectangle
35,27,rectangle
45,45,square
47,47,square
64,30,rectangle
65,65,square
87,87,square
29,54,rectangle
49,52,rectangle
64,1,rectangle
73,51,rectangle
17,30,rectangle
66,70,rectangle
28,28,square
45,45,square
54,54,square
18,18,square
68,86,rectangle
13,5,rectangle
100,21,rectangle
47,47,square
28,28,square
83,72,rectangle
98,98,square
30,30,square
81,64,rectangle
83,77,rectangle
39,39,square
67,82,rectangle
80,99,rectangle
16,16,square
59,40,rectangle
76,56,rectangle
95,95,square
68,68,square
51,51,square
41,14,rectangle
89,89,square
12,12,square
4,4,square
56,56,square
31,31,square
90,77,rectangle
81,92,rectangle
60,25,rectangle
78,78,square
71,53,rectangle
95,67,rectangle
62,62,square
82,82,square
66,28,rectangle
18,37,rectangle
95,58,rectangle
17,99,rectangle
6,95,rectangle
100,100,square
70,64,rectangle
90,90,square
58,89,rectangle
15,15,square
80,53,rectangle
65,89,rectangle
85,3,rectangle
57,57,square
63,63,square
47,91,rectangle
38,67,rectangle
88,88,square
42,8,rectangle
46,46,square
51,87,rectangle
92,45,rectangle
43,43,square
54,54,square
99,99,square
64,51,rectangle
70,2,rectangle
46,46,square
20,20,square
12,24,rectangle
50,50,square
87,54,rectangle
48,41,rectangle
58,11,rectangle
16,16,square
78,78,square
49,49,square
3,3,square
48,90,rectangle
92,92,square
57,57,square
58,58,square
39,39,square
23,39,rectangle
22,100,rectangle
55,55,square
2,21,rectangle
4,4,square
22,22,square
39,68,rectangle
85,51,rectangle
91,10,rectangle
40,40,square
27,27,square
79,94,rectangle
55,1,rectangle
61,61,square
65,65,square
65,70,rectangle
59,67,rectangle
24,24,square
51,90,rectangle
52,52,square
59,59,square
57,57,square
58,58,square
2,2,square
86,57,rectangle
59,37,rectangle
95,95,square
39,39,square
42,42,square
50,50,square
96,74,rectangle
76,76,square
23,48,rectangle
1,24,rectangle
45,45,square
32,46,rectangle
72,43,rectangle
28,28,square
28,65,rectangle
84,84,square
35,2,rectangle
50,86,rectangle
60,60,square
75,28,rectangle
88,88,square
23,23,square
64,48,rectangle
94,94,square
16,16,square
33,33,square
32,98,rectangle
76,36,rectangle
1,1,square
68,68,square
70,70,square
56,15,rectangle
43,62,rectangle
81,74,rectangle
71,94,rectangle
94,94,square
20,26,rectangle
72,72,square
67,68,rectangle
70,96,rectangle
54,53,rectangle
85,75,rectangle
70,82,rectangle
4,4,square
13,67,rectangle
34,92,rectangle
23,23,square
86,86,square
95,95,square
94,31,rectangle
78,32,rectangle
30,30,square
100,84,rectangle
47,28,rectangle
44,69,rectangle
43,4,rectangle
58,58,square
65,57,rectangle
90,94,rectangle
97,97,square
21,50,rectangle
88,88,square
72,72,square
44,44,square
43,11,rectangle
26,15,rectangle
98,98,square
